UNITID,clean_name,ID,Location,Latitude,Longitude
222178,Abilene Christian,2,"Abilene,  TX",32.449175,-99.741424
100654,Alabama A&M,6,"Normal,  AL",34.790981,-86.572083
100724,Alabama St.,7,"Montgomery,  AL",32.38012,-86.300629
175342,Alcorn St.,17,"Alcorn State,  MS",31.88269,-91.130501
131159,American,23,"Washington,  DC",38.89037,-77.031959
197869,Appalachian St.,27,"Boone,  NC",36.220364,-81.686965
104151,Arizona St.,28,"Tempe,  AZ",33.42551,-111.937419
106458,Arkansas St.,30,"State University,  AR",34.7519,-92.13055
100858,Auburn,37,"Auburn,  AL",32.607465,-85.481735
219602,Austin Peay,43,"Clarksville,  TN",36.530755,-87.359769
150136,Ball St.,47,"Muncie,  IN",40.193165,-85.381734
223232,Baylor,51,"Waco,  TX",31.571821,-97.149507
219709,Belmont,14927,"Nashville,  TN",36.167783,-86.778365
132602,Bethune-Cookman,61,"Daytona Beach,  FL",29.203575,-81.039404
142115,Boise St.,66,"Boise,  ID",43.60698,-116.193409
164924,Boston College,67,"Chestnut Hill,  MA",42.326095,-71.164564
164988,Boston U.,68,"Boston,  MA",42.358635,-71.056699
201441,Bowling Green,71,"Bowling Green,  OH",41.37546,-83.650419
143358,Bradley,72,"Peoria,  IL",40.69214,-89.587764
230038,BYU,77,"Provo,  UT",40.233775,-111.668509
217156,Brown,80,"Providence,  RI",41.823875,-71.411994
217165,Bryant,81,"Smithfield,  RI",41.885764,-71.509023
211291,Bucknell,83,"Lewisburg,  PA",40.96113,-76.890639
110422,Cal Poly,90,"San Luis Obispo,  CA",35.28552,-120.662519
110486,Cal St. Bakersfield,94,"Bakersfield,  CA",35.36697,-119.018863
110556,Fresno St.,96,"Fresno,  CA",36.740685,-119.785734
110565,Cal St. Fullerton,97,"Fullerton,  CA",33.870325,-117.929104
110583,Long Beach St.,99,"Long Beach,  CA",33.766725,-118.192399
110608,Cal St. Northridge,101,"Northridge,  CA",34.234773,-118.533879
110617,Sacramento St.,102,"Sacramento,  CA",38.579065,-121.491014
198136,Campbell,115,"Buies Creek,  NC",35.40704,-78.738831
189705,Canisius,116,"Buffalo,  NY",42.88544,-78.878464
128771,Central Conn. St.,127,"New Britain,  CT",41.66772,-72.782294
169248,Central Mich.,129,"Mount Pleasant,  MI",43.59723,-84.768149
217688,Charleston So.,48,"Charleston,  SC",32.78115,-79.931604
144005,Chicago St.,136,"Chicago,  IL",41.88415,-87.632409
217864,Citadel,141,"Charleston,  SC",32.78115,-79.931604
217882,Clemson,147,"Clemson,  SC",34.682571,-82.83954
