Team,avg_201516,avg_201415,avg_201314,avg_attendance_3_years
A&M-Corpus Chris,1500,"1,513","1,275",1429
Abilene Christian,1333,"1,241",987,1187
Air Force,1476,"1,683","2,238",1799
Akron,3351,"3,214","3,609",3391
Alabama,13110,"10,177","10,754",11347
Alabama A&M,1169,"1,261","1,735",1388
Alabama St.,1600,"2,073","2,232",1968
Albany (NY),3160,"3,390","2,656",3069
Alcorn,1139,"1,542",838,1173
American,771,"1,566","1,681",1339
Appalachian St.,1212,"1,619","1,130",1320
Arizona,14526,"14,591","14,375",14497
Arizona St.,5806,"5,985","6,687",6159
Ark.-Pine Bluff,1845,"2,881","3,832",2853
Arkansas,14879,"15,519","14,023",14807
Arkansas St.,1448,"1,856","2,541",1948
Army West Point,1226,"1,288","1,399",1304
Auburn,8216,"7,825","5,823",7288
Austin Peay,2058,"2,563","2,711",2444
CSU Bakersfield,1657,"1,115","1,264",1345
Ball St.,2763,"2,806","3,066",2878
Baylor,6410,"6,650","6,806",6622
Belmont,2536,"1,985","2,719",2413
Bethune-Cookman,756,783,"1,227",922
Binghamton,2540,"2,561","2,776",2626
Boise St.,6270,"5,775","6,810",6285
Boston College,3411,"4,486","4,007",3968
Boston U.,700,519,983,734
Bowling Green,2261,"2,028","1,759",2016
Bradley,5953,"5,726","6,608",6096
Brown,1172,739,"1,041",984
Bryant,436,936,"1,186",853
Bucknell,2770,"2,867","2,826",2821
Buffalo,3242,"3,639","3,486",3456
Butler,8164,"7,373","7,788",7775
BYU,14699,"16,125","15,875",15566
Cal Poly,2309,"2,412","2,184",2302
Cal St. Fullerton,1077,"1,118","1,354",1183
CSUN,1132,997,863,997
California,10182,"8,099","7,754",8678
Campbell,1515,"1,363","1,782",1553
Canisius,1311,"1,614","1,692",1539
Central Ark.,1151,"1,004",955,1037
Central Conn. St.,1274,"1,159","1,593",1342
Central Mich.,2499,"2,709","1,694",2301
Charleston So.,739,861,846,815
Charlotte,4667,"4,376","5,111",4718
Chattanooga,3529,"3,233","3,895",3552
Chicago St.,1091,477,937,835
Cincinnati,9415,"9,334","8,567",9105
The Citadel,1815,"1,521","1,245",1527
Clemson,8703,"7,635","7,486",7941
Cleveland St.,1911,"1,996","2,236",2048
Coastal Caro.,1764,"2,356","2,333",2151
Col. of Charleston,3042,"2,734","3,095",2957
Colgate,791,877,697,788
Colorado,8540,"9,135","9,635",9103
Colorado St.,3853,"4,854","4,186",4298
Columbia,1541,"1,535","1,534",1537
Coppin St.,950,807,"1,064",940
Cornell,1655,"2,117","1,423",1732
Creighton,15941,"17,048","17,896",16962
Dartmouth,811,952,808,857
Davidson,4297,"4,676","3,712",4228
Dayton,12941,"12,718","12,316",12658
Delaware,2140,"2,264","2,776",2393
Delaware St.,1223,"1,298",861,1127
Denver,1675,"1,963","3,119",2252
DePaul,5513,"6,238","6,363",6038
Detroit,2121,"2,539","2,472",2377
Drake,3087,"3,423","3,726",3412
Drexel,1303,"1,360","1,880",1514
Duke,9314,"9,314","9,314",9314
Duquesne,1832,"2,270","2,900",2334
East Carolina,4444,"4,696","4,434",4525
ETSU,3065,"2,742","2,549",2785
Eastern Ill.,1137,"1,602",926,1222
Eastern Ky.,2034,"2,765","2,986",2595
Eastern Mich.,1227,858,901,995
Eastern Wash.,1747,"1,924","1,209",1627
Elon,1205,"1,350","1,290",1282
Evansville,5147,"4,224","4,546",4639
Fairfield,1309,"2,010","1,703",1674
Fairleigh Dickinson,769,687,782,746
FGCU,3668,"4,229","4,340",4079
FIU,1149,"1,241","1,474",1288
Fla. Atlantic,1149,"1,171","1,346",1222
Florida,9686,"10,570","11,471",10576
Florida A&M,1854,935,"1,421",1403
Florida St.,7014,"6,703","6,285",6667
Fordham,2140,"1,874","2,330",2115
Fresno St.,6296,"6,190","6,776",6421
Furman,1461,"1,198","1,161",1273
Ga. Southern,1693,"1,966","1,335",1665
Gardner-Webb,1145,"1,261","1,543",1316
George Mason,4300,"4,082","4,916",4433
George Washington,3127,"3,397","3,270",3265
Georgetown,8879,"9,630","8,670",9060
Georgia,7345,"7,517","6,140",7001
Georgia St.,1796,"1,869","2,114",1926
Georgia Tech,5831,"6,201","6,584",6205
Gonzaga,6000,"6,325","6,000",6108
Grambling,708,305,"1,727",913
Grand Canyon,5805,"5,413","4,373",5197
Green Bay,3029,"3,581","3,979",3530
Hampton,4359,"3,767","3,449",3858
Hartford,1373,"1,748","1,830",1650
Harvard,1845,"1,786","2,012",1881
Hawaii,7081,"6,159","6,417",6552
High Point,1535,"1,497","1,311",1448
Hofstra,1684,"1,834","1,468",1662
Holy Cross,1611,"1,370","1,406",1462
Houston,3705,"2,635","3,783",3374
Houston Baptist,750,766,701,739
Howard,1285,"1,055","1,273",1204
Idaho,1400,"1,157","1,430",1329
Idaho St.,1836,"1,543","1,790",1723
Ill.-Chicago,3166,"2,913","3,010",3030
Illinois,12723,"14,652","15,246",14207
Illinois St.,5199,"5,483","4,842",5175
Incarnate Word,924,966,652,847
Indiana,17106,"16,288","17,359",16918
Indiana St.,3672,"4,418","5,946",4679
Iona,1826,"3,090","1,804",2240
Iowa,13835,"14,101","14,976",14304
Iowa St.,14270,"14,295","14,192",14252
IPFW,1278,"1,174",908,1120
IUPUI,1055,"1,527",615,1066
Jackson St.,1240,769,"1,016",1008
Jacksonville,638,600,"1,125",788
Jacksonville St.,1092,"1,727","1,440",1420
James Madison,3001,"3,416","3,612",3343
Kansas,16436,"16,383","16,437",16419
Kansas St.,11902,"12,549","12,125",12192
Kennesaw St.,1377,"1,087","1,339",1268
Kent St.,3587,"3,154","2,934",3225
Kentucky,23361,"23,572","22,964",23299
La Salle,2492,"2,158","2,988",2546
La.-Lafayette,3800,"3,987","3,405",3731
La.-Monroe,2471,"2,064","1,513",2016
Lafayette,1603,"1,726","1,648",1659
Lamar,1775,"2,173","2,170",2039
Lehigh,1307,"1,050","1,120",1159
Liberty,2515,"1,784","2,482",2260
Lipscomb,1794,"1,583","1,740",1706
LIU Brooklyn,1163,"1,296","2,237",1565
Long Beach St.,3215,"3,538","3,154",3302
Longwood,1268,"1,278","1,183",1243
Louisiana Tech,3855,"4,243","4,186",4095
Louisville,20859,"21,386","21,282",21176
Loyola Chicago,1831,"1,745","1,928",1835
Loyola Maryland,753,862,917,844
Loyola Marymount,2221,"1,804","2,245",2090
LSU,11382,"8,897","8,910",9730
Maine,1397,"1,430","1,312",1380
Manhattan,1265,"1,558","1,956",1593
Marist,1300,"1,343","1,344",1329
Marquette,13308,"13,657","15,327",14097
Marshall,5473,"5,107","4,713",5098
Maryland,17863,"12,695","12,557",14372
Massachusetts,3365,"4,553","6,544",4821
McNeese St.,653,984,"1,021",886
Memphis,12028,"13,915","16,121",14021
Mercer,3486,"3,047","2,383",2972
Miami (FL),7006,"5,111","5,777",5965
Miami (OH),1426,"1,113","1,201",1247
Michigan,11611,"12,316","12,698",12208
Michigan St.,14797,"14,797","14,797",14797
Middle Tenn.,5183,"4,037","4,465",4562
Milwaukee,2667,"3,134","2,847",2883
Minnesota,10706,"12,188","11,255",11383
Mississippi St.,6555,"6,291","6,875",6574
Mississippi Val.,1269,"1,086","1,406",1254
Missouri,6294,"8,064","8,856",7738
Missouri St.,4140,"5,300","5,217",4886
Monmouth,3628,"1,768","1,719",2372
Montana,3955,"3,796","3,562",3771
Montana St.,2502,"1,665","2,259",2142
Morehead St.,2920,"2,837","2,376",2711
Morgan St.,1008,"1,678","2,150",1612
Mt. St. Mary's,2207,"1,236","1,390",1611
Murray St.,3266,"4,644","3,428",3779
N.C. A&T,1436,"1,411","2,214",1687
N.C. Central,1588,"1,743","1,991",1774
Navy,2012,"1,820","2,062",1965
Nebraska,15429,"15,569","15,419",15472
Nevada,6554,"5,497","6,466",6172
New Hampshire,788,820,532,713
New Mexico,13030,"14,571","15,212",14271
New Mexico St.,4767,"6,150","5,948",5622
New Orleans,631,725,799,718
Niagara,1197,"1,095","1,455",1249
Nicholls St.,919,768,568,752
NJIT,943,871,733,849
Norfolk St.,1991,"1,775","1,904",1890
North Carolina,18326,"19,582","18,025",18644
North Carolina St.,16758,"15,436","12,641",14945
North Dakota,1850,"1,700","1,839",1796
North Dakota St.,2778,"2,512","3,308",2866
North Florida,2856,"2,725","1,608",2396
North Texas,1979,"2,606","2,453",2346
Northeastern,1786,"1,254","1,174",1405
Northern Ariz.,1235,"1,842","1,366",1481
Northern Colo.,1247,"1,280","1,325",1284
Northern Ill.,1469,"1,251","1,012",1244
Northern Ky.,2296,"2,016","1,845",2052
Northwestern,6913,"6,914","6,719",6849
Northwestern St.,1709,"1,936","1,811",1819
